# bp_rp ls_g ls_g_scatter ls_r ls_r_scatter ls_z ls_z_scatter
0.14443397521972656 -0.06655311584472656 -0.06655311584472656 0.08290672302246094 0.08290672302246094 0.3194923400878906 0.3194923400878906
0.2140483856201172 -0.032233238220214844 -0.032233238220214844 0.06052112579345703 0.06052112579345703 0.25874805450439453 0.25874805450439453
0.28949737548828125 0.0048370361328125 0.0048370361328125 0.036548614501953125 0.036548614501953125 0.2024974822998047 0.2024974822998047
0.35844993591308594 0.04117107391357422 0.04117107391357422 0.014206886291503906 0.014206886291503906 0.14974403381347656 0.14974403381347656
0.45582008361816406 0.1081075668334961 0.1081075668334961 -0.000949859619140625 -0.000949859619140625 0.062119483947753906 0.062119483947753906
0.5318965911865234 0.1577472686767578 0.1577472686767578 -0.02519989013671875 -0.02519989013671875 0.002254486083984375 0.002254486083984375
0.6189994812011719 0.2135486602783203 0.2135486602783203 -0.04065132141113281 -0.04065132141113281 -0.07194900512695312 -0.07194900512695312
0.6832103729248047 0.25113773345947266 0.25113773345947266 -0.053854942321777344 -0.053854942321777344 -0.11825180053710938 -0.11825180053710938
0.759242057800293 0.29958343505859375 0.29958343505859375 -0.06987285614013672 -0.06987285614013672 -0.17017555236816406 -0.17017555236816406
0.8301410675048828 0.3476238250732422 0.3476238250732422 -0.08529853820800781 -0.08529853820800781 -0.2192249298095703 -0.2192249298095703
0.9078950881958008 0.3991727828979492 0.3991727828979492 -0.09901618957519531 -0.09901618957519531 -0.27881526947021484 -0.27881526947021484
0.9832096099853516 0.45481300354003906 0.45481300354003906 -0.11051177978515625 -0.11051177978515625 -0.3362751007080078 -0.3362751007080078
1.0604972839355469 0.514735221862793 0.514735221862793 -0.12223672866821289 -0.12223672866821289 -0.3933906555175781 -0.3933906555175781
1.1356697082519531 0.5806255340576172 0.5806255340576172 -0.1338520050048828 -0.1338520050048828 -0.44835853576660156 -0.44835853576660156
1.214426040649414 0.6521682739257812 0.6521682739257812 -0.1436176300048828 -0.1436176300048828 -0.5057449340820312 -0.5057449340820312
1.2920341491699219 0.7297649383544922 0.7297649383544922 -0.15011978149414062 -0.15011978149414062 -0.5599174499511719 -0.5599174499511719
1.3669910430908203 0.8115558624267578 0.8115558624267578 -0.15360450744628906 -0.15360450744628906 -0.6120214462280273 -0.6120214462280273
1.4450435638427734 0.8926162719726562 0.8926162719726562 -0.15470218658447266 -0.15470218658447266 -0.6695556640625 -0.6695556640625
1.5217266082763672 0.9714422225952148 0.9714422225952148 -0.14924049377441406 -0.14924049377441406 -0.7261743545532227 -0.7261743545532227
1.5996575355529785 1.0539512634277344 1.0539512634277344 -0.14031028747558594 -0.14031028747558594 -0.7845296859741211 -0.7845296859741211
1.675389289855957 1.1311321258544922 1.1311321258544922 -0.12483882904052734 -0.12483882904052734 -0.8412580490112305 -0.8412580490112305
1.7523112297058105 1.2012557983398438 1.2012557983398438 -0.105255126953125 -0.105255126953125 -0.8985004425048828 -0.8985004425048828
1.8294429779052734 1.2702054977416992 1.2702054977416992 -0.07969284057617188 -0.07969284057617188 -0.9542045593261719 -0.9542045593261719
1.9070329666137695 1.3295612335205078 1.3295612335205078 -0.047821044921875 -0.047821044921875 -1.0149822235107422 -1.0149822235107422
1.9845714569091797 1.3870649337768555 1.3870649337768555 -0.012085914611816406 -0.012085914611816406 -1.071998119354248 -1.071998119354248
2.060098648071289 1.4377174377441406 1.4377174377441406 0.025318145751953125 0.025318145751953125 -1.126577377319336 -1.126577377319336
2.1365108489990234 1.4875736236572266 1.4875736236572266 0.06488037109375 0.06488037109375 -1.1796550750732422 -1.1796550750732422
2.213756561279297 1.5372848510742188 1.5372848510742188 0.10813331604003906 0.10813331604003906 -1.2329387664794922 -1.2329387664794922
2.291299819946289 1.5844039916992188 1.5844039916992188 0.15067291259765625 0.15067291259765625 -1.284414291381836 -1.284414291381836
2.367523193359375 1.6346378326416016 1.6346378326416016 0.19402408599853516 0.19402408599853516 -1.3313989639282227 -1.3313989639282227
2.446247100830078 1.6871929168701172 1.6871929168701172 0.2395038604736328 0.2395038604736328 -1.380411148071289 -1.380411148071289
2.520547866821289 1.7348384857177734 1.7348384857177734 0.2813119888305664 0.2813119888305664 -1.4257802963256836 -1.4257802963256836
2.5976219177246094 1.7829694747924805 1.7829694747924805 0.32466697692871094 0.32466697692871094 -1.466517448425293 -1.466517448425293
2.6720943450927734 1.84197998046875 1.84197998046875 0.36503028869628906 0.36503028869628906 -1.5126781463623047 -1.5126781463623047
2.750516891479492 1.8936176300048828 1.8936176300048828 0.4097414016723633 0.4097414016723633 -1.5523080825805664 -1.5523080825805664
2.82767391204834 1.9607839584350586 1.9607839584350586 0.44879913330078125 0.44879913330078125 -1.5943365097045898 -1.5943365097045898
2.9005537033081055 2.0195531845092773 2.0195531845092773 0.49676990509033203 0.49676990509033203 -1.6375250816345215 -1.6375250816345215
2.981072425842285 2.0923633575439453 2.0923633575439453 0.5373249053955078 0.5373249053955078 -1.6714534759521484 -1.6714534759521484
3.0605669021606445 2.1553754806518555 2.1553754806518555 0.5889596939086914 0.5889596939086914 -1.708754539489746 -1.708754539489746
