# radius_r_10.50 flux_r_10.50 flux_scatter_r_10.50 radius_r_11.75 flux_r_11.75 flux_scatter_r_11.75 radius_r_13.00 flux_r_13.00 flux_scatter_r_13.00 radius_r_14.25 flux_r_14.25 flux_scatter_r_14.25 radius_r_15.50 flux_r_15.50 flux_scatter_r_15.50
0.7638546982247344 145.64050087406483 4.808073494685036 0.7638546982247344 146.45289113422928 5.280378333389953 0.7638546982247344 146.90269405671148 4.717132072652937 0.6679715562806549 146.82084310975233 4.876399235355775 0.7638546982247344 100.76624643055797 6.130544234571169
1.582879022540889 145.89806525949308 4.880660524855354 1.4936298068798708 146.4531519135462 5.280550349546198 1.582879022540889 146.61932828324865 5.510796920177862 1.708031030163094 20.721958161015472 6.137189048677534 1.582879022540889 7.613385238709215 0.943204397276308
2.5198353120789463 145.640058475018 4.849841285152803 2.5737416342748936 42.06518984984893 7.031898459627416 2.5737416342748936 11.911124922595743 1.7376843933342987 2.5198353120789463 3.681853502455824 0.47091994133359133 2.5198353120789463 1.176455961994804 0.1695835063097612
3.5394250945598498 37.97410699713109 4.872643575986797 3.5394250945598498 10.305223500639295 1.3649264449926748 3.5394250945598498 3.0631558012858036 0.4017029434066003 3.5394250945598498 1.008350741406638 0.12336326894830889 3.5394250945598498 0.3141700191555832 0.03900610106960947
4.541753185720246 12.96455539302274 1.4448058142588214 4.541753185720246 3.8155916754272146 0.49957125178749606 4.541753185720246 1.1818922216458474 0.13372015939066473 4.541753185720246 0.3828492532610386 0.046619295678086335 4.541753185720246 0.12124273514027864 0.017109297821564454
5.560946142519275 5.822460964856614 0.5811528541912263 5.560946142519275 1.770352550801461 0.2182239505043581 5.560946142519275 0.5602124570234788 0.05644492982520125 5.560946142519275 0.1810738912278589 0.02151847256100725 5.560946142519275 0.05724383440888688 0.008183594409245458
6.515850980493646 2.9688130909788066 0.30519582126255734 6.515850980493646 0.9245012481401145 0.11788223192902622 6.515850980493646 0.29354636795482364 0.03141297087735201 6.515850980493646 0.0962354650265384 0.012138710545150882 6.515850980493646 0.03054127693884131 0.006294522143292542
7.495673018482064 1.7346344816769113 0.1664126736220661 7.495673018482064 0.5458890413010664 0.06735822908800615 7.495673018482064 0.17486712437828458 0.01736060888180955 7.495673018482064 0.05790791835053658 0.007874422544979269 7.495673018482064 0.018797644197699324 0.004898063494200344
8.52406440613866 1.1123763904226431 0.09577797279807788 8.52406440613866 0.3505388177634866 0.043224668655128036 8.52406440613866 0.11523481577131679 0.010946890814218806 8.52406440613866 0.03790072457562835 0.005362731003927581 8.52406440613866 0.013232268689269272 0.004535776071056067
9.51352269141142 0.7826416111428414 0.061512025262492324 9.51352269141142 0.24746639027393041 0.027911089757884658 9.51352269141142 0.08136244995013164 0.0073849327832723796 9.51352269141142 0.026875428865778192 0.004362249057342522 9.51352269141142 0.009339754649348296 0.004352089709327257
10.50780062620147 0.5771513353170047 0.04790736284056257 10.50780062620147 0.18222508145894134 0.017164925593596902 10.50780062620147 0.060483039909209294 0.006108108870454813 10.50780062620147 0.020254323430148338 0.003598770693409514 10.50780062620147 0.007436595683067884 0.004011705411177507
11.517574831534633 0.42596405020256567 0.0363246080723299 11.517574831534633 0.1359172399676331 0.013449667300582863 11.517574831534633 0.04469304978935426 0.004321111778435655 11.517574831534633 0.015404490475946712 0.004018541392861666 11.517574831534633 0.0058398950155198245 0.003993588511651119
12.495230209964122 0.3250987245019169 0.026494260602293103 12.495230209964122 0.10391989739555663 0.01080745573230307 12.495230209964122 0.03396301223046268 0.00421787952073211 12.495230209964122 0.01195722638233531 0.0035744132639454417 12.495230209964122 0.004724606035031915 0.004052978080213368
13.508888703368608 0.2542586075262118 0.01981218871695479 13.508888703368608 0.08173033175976224 0.008618349087941264 13.508888703368608 0.026946579085262837 0.0041134855977143486 13.508888703368608 0.009410039741478709 0.0038340175551922003 13.508888703368608 0.00396533157291312 0.003980178963897548
14.496675494560044 0.20523600705450362 0.01871751042430411 14.496675494560044 0.06544055550306391 0.007293505596113606 14.496675494560044 0.021441840366311537 0.0036870778374853007 14.496675494560044 0.007816091938040098 0.003249893893497576 14.496675494560044 0.004027648925313364 0.0037526647164133286
15.514515332423377 0.1701909583006735 0.015353452616960974 15.514515332423377 0.05514477264035986 0.00578908241047746 15.514515332423377 0.017834829090752964 0.0034603125263810465 15.514515332423377 0.0068836242129461985 0.003059088346933475 15.514515332423377 0.003260592650308117 0.0033495601588433297
16.49664020338687 0.14133120422964712 0.01178954739949014 16.49664020338687 0.045768045562076545 0.0051374416554254365 16.49664020338687 0.015024511787684283 0.0034579195599425384 16.49664020338687 0.005628236258722771 0.0035050831676145954 16.49664020338687 0.002510189420878337 0.0031884263831876833
17.50603147489459 0.12024917506035115 0.009756363772943767 17.50603147489459 0.03921613993512303 0.004523604685264954 17.50603147489459 0.01258642297580543 0.0030457882962049974 17.50603147489459 0.005275052410069588 0.0030646349174287373 17.50603147489459 0.002288607143956248 0.0031932223840966858
18.5122978044326 0.10323551992368124 0.008658564457579393 18.51044360791916 0.03334789626258118 0.00413719745447913 18.51044360791916 0.010754110960565456 0.0026277043786720345 18.51044360791916 0.004406486547394528 0.0031010755285762544 18.51044360791916 0.002227666428019034 0.0033519327952108544
19.512404926097656 0.08928208900559917 0.007804653743613047 19.512404926097656 0.028669769652576886 0.003722838571608776 19.512404926097656 0.00938577602225664 0.0025062803889722165 19.512404926097656 0.004032870863313177 0.0028879436114016 19.512404926097656 0.0018636371105814563 0.0031706291403069903
