# radius_r_10.50 flux_r_10.50 flux_scatter_r_10.50 radius_r_11.75 flux_r_11.75 flux_scatter_r_11.75 radius_r_13.00 flux_r_13.00 flux_scatter_r_13.00 radius_r_14.25 flux_r_14.25 flux_scatter_r_14.25 radius_r_15.50 flux_r_15.50 flux_scatter_r_15.50
1.157477429585562 48.84643851966369 1.8067598154712823 1.157477429585562 48.56202126394017 1.6327024590514685 1.157477429585562 48.72348842733488 1.6979210298619891 1.157477429585562 48.67209950619617 1.7654977305656658 1.157477429585562 12.824247889097613 2.4840428991898156
2.6655248254905057 48.834476226443314 1.813300201002064 2.5881982149750433 48.50478401275247 1.6999727474171618 2.5881982149750433 48.62717359762863 1.652797754768927 2.5881982149750433 46.58963204679144 5.851278791445826 2.6655248254905057 0.4908865416593162 0.21166602534657786
4.366432181999395 48.80105590627511 1.869841998287799 4.366432181999396 47.15783475820756 3.427081025584392 4.366432181999396 0.6946688609322982 0.18690406115450534 4.366432181999395 0.22431848075799232 0.08454016510487075 4.366432181999395 0.07493504861367722 0.021111802243213927
6.133202263092259 2.7454366384291116 0.8032051536465314 6.133202263092259 0.7119799782460448 0.19022022717935147 6.133202263092259 0.21632260706058756 0.05248755674032836 6.133202263092259 0.0706244185282878 0.02084663991176322 6.133202263092259 0.02323424807659801 0.005746910956804233
7.76459464492513 0.9530430159447931 0.27822210930011737 7.76459464492513 0.26844706618555914 0.057962517724446154 7.76459464492513 0.08750144698392767 0.018176083711919783 7.76459464492513 0.029834119112584535 0.007440813712600075 7.76459464492513 0.010338993345858579 0.0025510333193647953
9.485232416762384 0.427573894793779 0.10425114677956444 9.485232416762384 0.12634644196565875 0.024474399322186882 9.485232416762384 0.04288981945352721 0.009501755233951368 9.485232416762384 0.015041193295110725 0.0033339310756744876 9.485232416762384 0.005215997113036804 0.001990843577014838
11.180758203270475 0.22103683729545645 0.04982730117802333 11.180758203270475 0.0686029570518087 0.012328450058701954 11.180758203270475 0.023673173338379056 0.005007884396278028 11.180758203270475 0.008451616259875054 0.0023914461685756237 11.180758203270475 0.003275092048371446 0.0018394835904166544
12.925053887701978 0.13484421815536568 0.028680882041375425 12.925053887701978 0.04252343066393613 0.007834423304934853 12.925053887701978 0.01478340535392831 0.0029796896307620014 12.925053887701978 0.005555678350011278 0.0018725691310366671 12.925053887701978 0.0023255425456777078 0.001640223173799239
14.644579133590696 0.0886597231215506 0.017423603440509593 14.644579133590696 0.028375186583744196 0.005163002692137581 14.644579133590696 0.009573193860598489 0.002239724801569432 14.644579133590696 0.003806610236815754 0.0014795889021944771 14.644579133590696 0.001983577679535306 0.0017777918908584251
16.359756294028344 0.06296856155874986 0.010241174441185613 16.359756294028344 0.01992041556676813 0.003452438068258778 16.359756294028344 0.007044286595259298 0.0018282384856760261 16.359756294028344 0.0029550922362656462 0.0015981789339052982 16.359756294028344 0.0015440212093904629 0.0013062538659397937
18.02612967411529 0.04858840423759602 0.007490387659604321 18.02612967411529 0.015510215639742211 0.003077622749575318 18.02612967411529 0.005384204814410988 0.0017640775125419693 18.02612967411529 0.0022911921857148333 0.0014557035648336064 18.02612967411529 0.0012854230231798167 0.0016261305639311966
19.76073789108089 0.037906836682874694 0.005265158034835737 19.76073789108089 0.012348120953242694 0.002653786649834197 19.76073789108089 0.004268167087479034 0.0015658366394982746 19.76073789108089 0.002015512861762177 0.0014224187425442975 19.76073789108089 0.0014751561247454315 0.0015557214434038095
21.48959976360658 0.03213086834554816 0.004422620339023753 21.48959976360658 0.010202326662650158 0.002209635885518998 21.48959976360658 0.003746776894301547 0.0015889100740141078 21.48959976360658 0.0019200130482463543 0.0013226843131377338 21.48959976360658 0.0011956154262722446 0.0013019742523026757
23.178467464437766 0.027105555175109486 0.0039649244338369844 23.178467464437766 0.008881721320191901 0.0020582316275595805 23.178467464437766 0.0032962182030479327 0.0014808039143686489 23.178467464437766 0.0017894130515647513 0.0013174353464253485 23.178467464437766 0.0012301109085190946 0.0013070655706552672
24.918355684113667 0.023613122114099883 0.0035998644184447597 24.918355684113667 0.007884438061084237 0.001997066696304503 24.918355684113667 0.0029780469093002226 0.0013660942422313578 24.918355684113667 0.0016391679173506223 0.0013862436497972012 24.918355684113667 0.0011566300570402433 0.0013663365224484366
26.62198088046793 0.02074411511013899 0.0029032484689217905 26.62198088046793 0.006779995860197037 0.002163966534008736 26.62198088046793 0.0026060675137436293 0.0012105150151955205 26.62198088046793 0.0016551899435014504 0.0012815798408055239 26.62198088046793 0.0011107593773196588 0.0013244434053702062
28.328653917286257 0.019151868180394 0.002592144079823456 28.328653917286257 0.006145391271156937 0.0020975061919038035 28.328653917286257 0.002415721380791861 0.001491565413407801 28.328653917286257 0.0015094507221076446 0.0013856711599614898 28.328653917286257 0.0010983109353783437 0.0011450943282947477
30.034424815534592 0.01761778986785489 0.0026424689501516785 30.034424815534592 0.005861800884432002 0.001952940870037108 30.034424815534592 0.0022961418095876966 0.0012872956083117947 30.034424815534592 0.001476400090378271 0.0011888479290336966 30.034424815534592 0.0013664621573960436 0.0012163604715171908
31.78810610904651 0.016255874352749188 0.002199055958234609 31.78810610904651 0.0055152913496280855 0.0018780017527953458 31.78810610904651 0.0022829238532324856 0.0012871975876251353 31.78810610904651 0.0015678384077755147 0.0013915543054795311 31.78810610904651 0.0012986310187641376 0.0011895743068354714
