# radius_g_10.50 flux_g_10.50 flux_scatter_g_10.50 radius_g_11.75 flux_g_11.75 flux_scatter_g_11.75 radius_g_13.00 flux_g_13.00 flux_scatter_g_13.00 radius_g_14.25 flux_g_14.25 flux_scatter_g_14.25 radius_g_15.50 flux_g_15.50 flux_scatter_g_15.50
0.7638546982247344 146.3616397864708 4.247669769566746 0.7638546982247344 145.82056548361066 4.876830182478971 0.7638546982247344 145.66978954622846 5.205324322969841 0.7638546982247344 203.68194061893274 56.920598149053795 0.7638546982247344 102.51479731206027 4.63302106401898
1.582879022540889 146.36161677450514 4.247735745918665 1.4936298068798708 145.8204356598558 4.876761724936144 1.708031030163094 144.50457478999692 6.223684222609773 1.582879022540889 31.20593559375329 5.49173790080952 1.582879022540889 9.449033331124973 1.4018959929357815
2.5198353120789463 146.32256869703622 4.47357387653293 2.5737416342748936 49.80452919950535 9.49238757042861 2.5737416342748936 13.09982240609039 2.6121663841229834 2.5198353120789463 4.271694690880035 0.7108533347553116 2.5198353120789463 1.4061710884682443 0.2714323714379087
3.5394250945598498 40.909077591731716 6.615183419529779 3.5394250945598498 11.284457813717182 1.7869979491552852 3.5394250945598498 3.352572666644362 0.5156795273807131 3.5394250945598498 1.0981658989184337 0.17954788155868026 3.5394250945598498 0.3590709658366813 0.06323392675486857
4.541753185720246 13.258239455297334 1.9778083257707828 4.541753185720246 3.889742462920095 0.478085068180971 4.541753185720246 1.2136525530338358 0.17001891624598958 4.541753185720246 0.39808846512853086 0.0549232737602314 4.541753185720246 0.12808929127570717 0.021210304738337436
5.560946142519275 5.674050929465045 0.7003537492212392 5.560946142519275 1.6969422556759879 0.19990386128324475 5.560946142519275 0.5438184020114161 0.06628509329597623 5.560946142519275 0.17967885198521222 0.02265089268337609 5.560946142519275 0.05729053709720511 0.008863754816759304
6.515850980493646 2.9711488662678622 0.29023135314743 6.515850980493646 0.9045320324024568 0.0971841323015318 6.515850980493646 0.2926207659556833 0.03393117457734866 6.515850980493646 0.09568930550299037 0.009861599126356545 6.515850980493646 0.030077691732657813 0.0045524501038230495
7.495673018482064 1.7929508037613846 0.14893369963180678 7.495673018482064 0.5592437590704522 0.05150064067812843 7.495673018482064 0.17986410144091933 0.01722592657313134 7.495673018482064 0.05858773390175763 0.005835385521741758 7.495673018482064 0.018522290219146562 0.0033599087977157303
8.52406440613866 1.161804761056381 0.08708712165267128 8.52406440613866 0.36468077709174435 0.03128117435913262 8.52406440613866 0.11736205800540984 0.009787427322018365 8.52406440613866 0.03767383322363521 0.003687044347807374 8.52406440613866 0.011573341173361635 0.002808313183550709
9.51352269141142 0.7845138198560145 0.05448939257219933 9.51352269141142 0.24686296897784724 0.0181049585799222 9.51352269141142 0.07981632970565783 0.006857833225882273 9.51352269141142 0.02531911231685051 0.0029234066946502847 9.51352269141142 0.008234698708912962 0.002626042146630928
10.50780062620147 0.5600905125878537 0.03724548538533907 10.50780062620147 0.17735478249994927 0.01303317133392407 10.50780062620147 0.05747777345528462 0.0055187640317988715 10.50780062620147 0.018215002970338897 0.002806212832273469 10.50780062620147 0.005821883118850449 0.0029323367684920758
11.517574831534633 0.41749478369943066 0.030984370534055033 11.517574831534633 0.13253527636900997 0.009194963875383164 11.517574831534633 0.04281715598551025 0.0046165514049513676 11.517574831534633 0.013300341013248267 0.0024402233350148215 11.517574831534633 0.0042396090715470635 0.0027588651405666166
12.495230209964122 0.3234474090923414 0.023885412295967873 12.495230209964122 0.10397565938054568 0.008108184465546236 12.495230209964122 0.0331733523131683 0.0036656732768281185 12.495230209964122 0.010057361425843136 0.0019361742400365652 12.495230209964122 0.003344626374565636 0.0024315152607417394
13.508888703368608 0.26046830171926333 0.017961321836379565 13.508888703368608 0.08398996444073292 0.006792674904840465 13.508888703368608 0.026743699460985815 0.0032941163116779557 13.508888703368608 0.008042747623739126 0.002196379411316072 13.508888703368608 0.002716171912754162 0.002606451546035578
14.496675494560044 0.2141591751443621 0.01475041756661057 14.496675494560044 0.06835513590118275 0.0056264452790332 14.496675494560044 0.02162353221175036 0.002715232263141986 14.496675494560044 0.006517608524822622 0.0021063459372074943 14.496675494560044 0.0020513479521284397 0.0022315038377958766
15.514515332423377 0.17868402036425626 0.012429201457204069 15.514515332423377 0.057166318426942496 0.0044132685901685734 15.514515332423377 0.018045976674388668 0.002586599771825712 15.514515332423377 0.005703031486797469 0.002448126464716429 15.514515332423377 0.001764385299948357 0.002379569328023049
16.49664020338687 0.14837248460944863 0.010575475345634291 16.49664020338687 0.04655631700902864 0.004122945690872025 16.49664020338687 0.014546443667202261 0.0020854939549553695 16.49664020338687 0.004328593218763457 0.002242726641163571 16.49664020338687 0.001323831221523786 0.0026099094872237905
17.50603147489459 0.12550493305249333 0.009072782366881053 17.50603147489459 0.0394392722984015 0.0036276411734892083 17.50603147489459 0.012287107351972297 0.0021107906232916943 17.50603147489459 0.0036629008113148436 0.0019573031598873647 17.50603147489459 0.0011777581803727858 0.00221588089038273
18.51044360791916 0.10722486975723519 0.007405743353764393 18.51044360791916 0.03380464393437066 0.00338328819878805 18.51044360791916 0.010210517516230186 0.0023509596894557413 18.51044360791916 0.0031227229088595277 0.0021219346487278577 18.51044360791916 0.0008104946040424464 0.0017212629682777506
19.512404926097656 0.09265759231920313 0.00665660913737965 19.512404926097656 0.029039680218098524 0.0033259354275928564 19.512404926097656 0.008781131329725618 0.0021902033609292634 19.512404926097656 0.0024668839208721533 0.0020061220179095835 19.512404926097656 0.0005863414479546011 0.0017750301246171898
