# radius_z_10.50 flux_z_10.50 flux_scatter_z_10.50 radius_z_11.75 flux_z_11.75 flux_scatter_z_11.75 radius_z_13.00 flux_z_13.00 flux_scatter_z_13.00 radius_z_14.25 flux_z_14.25 flux_scatter_z_14.25 radius_z_15.50 flux_z_15.50 flux_scatter_z_15.50
0.7638546982247344 150.02104260743914 12.281939833896551 0.7638546982247344 150.81385864098922 15.70689480797179 0.7638546982247344 150.71036818989592 14.6484027328313 0.7638546982247344 150.66154828268154 13.63423207978714 0.7638546982247344 103.09066431416073 24.261700209274576
1.582879022540889 150.02107403457734 12.281722290556255 1.582879022540889 150.813763761723 15.70660169189826 1.582879022540889 141.5295199933097 12.597003913288654 1.53825441471038 46.23533389798331 52.02607632513553 1.582879022540889 6.634889540037327 3.8381726384159585
2.5198353120789463 146.4341364703112 8.232326276029793 2.5198353120789463 139.72898968828125 18.50563884535199 2.5198353120789463 9.439157236644206 3.427513774109673 2.5198353120789463 3.1751865548889997 0.7205938189318992 2.5198353120789463 1.1436922233314246 0.287694052292783
3.5394250945598498 37.7806527056682 17.214748238719135 3.5394250945598498 10.389028321256252 2.4246532866271835 3.5394250945598498 3.081388815068385 0.9930704581455434 3.5394250945598498 0.9945274044675319 0.24646869269608856 3.5394250945598498 0.3454027360114513 0.08560936689750169
4.541753185720246 14.382745442045564 3.152999708699522 4.541753185720246 4.1058688358846105 0.974990728666297 4.541753185720246 1.2432757406667874 0.37084010268579437 4.541753185720246 0.4087965451431058 0.10366842145943449 4.541753185720246 0.14049488790333692 0.04174279303330513
5.560946142519275 6.7728768995213855 1.4528102344621303 5.560946142519275 1.96910982819135 0.4389932902419372 5.560946142519275 0.6140233559273756 0.16536826960474554 5.560946142519275 0.20368703368995206 0.04852258984955153 5.560946142519275 0.06833593827012535 0.02361358517303579
6.515850980493646 3.6087383879114094 0.7274366739509146 6.515850980493646 1.07141696449911 0.20813286525556923 6.515850980493646 0.34448601045503086 0.08987619672354692 6.515850980493646 0.11268532672389753 0.029172440780647478 6.515850980493646 0.043480683577986554 0.020083531391175035
7.495673018482064 2.147017264566837 0.3903606303686297 7.495673018482064 0.6432678253799176 0.11836474403731549 7.495673018482064 0.21198603214355427 0.05713832159130717 7.495673018482064 0.07472309569133453 0.024787443910508678 7.495673018482064 0.02854395352828375 0.01653642464272246
8.52406440613866 1.3664758497280243 0.2184823948523115 8.52406440613866 0.42072529059847896 0.07340577550815665 8.52406440613866 0.13492694776347294 0.03797194549666663 8.52406440613866 0.050777097004361144 0.02181429195266174 8.52406440613866 0.02205395848321158 0.01480612157127579
9.51352269141142 0.941890639614543 0.14455761833953196 9.51352269141142 0.28977298456004374 0.05404912347517488 9.51352269141142 0.09512294895971105 0.02485907269752359 9.51352269141142 0.037305125118356805 0.018447596239837542 9.51352269141142 0.01808990794210619 0.013571286932857958
10.50780062620147 0.6916404489268714 0.10952052267987156 10.50780062620147 0.21041992488408368 0.03625846282700961 10.50780062620147 0.07112318909724134 0.020093721255124267 10.50780062620147 0.029071162353747272 0.014930510220132526 10.50780062620147 0.017598300315638644 0.014594413515170074
11.517574831534633 0.5161690604552482 0.07980856387356171 11.517574831534633 0.15569965087703916 0.028810893374200747 11.517574831534633 0.05284229535210387 0.0193448167602993 11.517574831534633 0.021221728946423747 0.014066885060080537 11.517574831534633 0.013725716386487823 0.014780778145422323
12.495230209964122 0.39728905390342384 0.05657110986734798 12.495230209964122 0.12475150061987904 0.02569156981582999 12.495230209964122 0.04272619388151548 0.01815190729330872 12.495230209964122 0.01763286227947788 0.01155153447629092 12.495230209964122 0.013285423302178807 0.011690656161117835
13.508888703368608 0.3099438769418096 0.04629371964802045 13.508888703368608 0.10045639303857504 0.023751782515024317 13.508888703368608 0.034957347178234184 0.01608657587598346 13.508888703368608 0.01717019810075808 0.01243442221924753 13.508888703368608 0.01074242499533129 0.014047103283233268
14.496675494560044 0.2509059179784081 0.039598254979876665 14.496675494560044 0.0809544947961625 0.021327653513755335 14.496675494560044 0.029010619415029325 0.01335439022490285 14.496675494560044 0.015115133192500584 0.011632315592790564 14.496675494560044 0.009896306779439968 0.011936540200280394
15.514515332423377 0.20906051098980347 0.035757726821239004 15.514515332423377 0.0681505923061893 0.02261329729162791 15.514515332423377 0.02570180704633999 0.013406644883347127 15.514515332423377 0.013548487061865719 0.011891205428459088 15.514515332423377 0.011682823489745336 0.01575738856864326
16.49664020338687 0.17190286777892436 0.03075587458150301 16.49664020338687 0.05713575453523541 0.019036825188950935 16.49664020338687 0.01983070242430294 0.013392565912952825 16.49664020338687 0.012663342311877244 0.01342983280669595 16.49664020338687 0.0096477805843501 0.013229183565759514
17.50603147489459 0.14924668109724248 0.03075336439127406 17.50603147489459 0.05010469336974946 0.01859957867594268 17.50603147489459 0.021008263691457113 0.013601213346119051 17.50603147489459 0.011728290323640844 0.012022543384228179 17.50603147489459 0.009822788950205016 0.014123064775584194
18.51044360791916 0.12641318830770507 0.027271314463215884 18.51044360791916 0.04352928008894303 0.017231093054051017 18.51044360791916 0.01794325845600861 0.012710814210162338 18.51044360791916 0.012246639061764875 0.012106229142753167 18.51044360791916 0.009513384037479602 0.012326511892673288
19.512404926097656 0.10954906542764853 0.02377343750554497 19.512404926097656 0.039311399128673805 0.01701441041753872 19.512404926097656 0.018179727230969778 0.011336922596422718 19.512404926097656 0.011219820342842354 0.01042914657555961 19.512404926097656 0.011314697905417052 0.01203601758184463
